hex,스타일수,고유이름수,정본포함,이름들
"#FFFFFF",35,18,Y,"bg/default | bg/layer/default | fill/input/default | Global/Base/White | Gray Scale/Gray 000 | Gray Scale/Gray 000 *white | Gray Scale/gray000 | Gray scale/White | Gray/01 | gray/gray-0 | gray000 | GRAYSCALE/gray_001 | Label Color/Dark/Primary | Map Marker/Active | Navy scale/White | static/wh | System Background/Light/Primary | Untitled/gray000"
"#000000",28,13,Y,"black | Black | Gray Scale/Gray 100 | Gray Scale/gray100 | Label Color/Light/Primary | Map Marker/map marker_Shadow | Neutrals / Black #000000 | System Color/btn 45% | System Color/dim layer | System Color/info box_BG | System/btn 45% | System/Dim Layer | System/Info Box BG"
"#D9DDDF",24,9,N,"Disabled Btn | dot | Gray/902 | info input text | Navy 020 *Disabled Btn | Second Navy/gray025 | sub text | System Color/input_line | System/Input Line"
"#728A9A",17,5,Y,"$-G_Default Btn-300 | $-gray-300 | Navy/navy 040 | Second Navy/navy040_Second Text | Untitled/$-DefaultBtn_N-300"
"#E2E2E2",17,5,Y,"Gray Scale/Gray 020 | Gray Scale/gray020 | gray020 | Map Marker/Shadow | Untitled/gray020"
"#ED1C24",16,7,Y,"Brand Color/G car Red | Brand/G car Red | First Red/500 | First Red/r500 | FirstRed/g500_Default | Gcar_color | Primary/Red 500"
"#D0D8DD",15,5,Y,"$-G_Default Btn-100 | $-gray-100 | Navy/Navy 020 | Second Navy/navy020_Disabled Btn | Untitled/$-DefaultBtn_N-100"
"#0F2D41",15,6,Y,"$-G_Default Btn-600 | $-gray-600 | Navy/Navy 070 | Second Navy/navy070_Def Press | Second Navy/navy070_Default Press | Untitled/$-DefaultBtn_N-600"
"#E8ECEF",13,5,Y,"$-G_Default Btn-50 | $-gray-50 | Navy/Navy 010 | Second Navy/navy010 | Untitled/$-DefaultBtn_N-50"
"#10131C",13,12,N,"border/input/default | border/subtle | border/subtler | fill/disabled | fill/transperent | icon/default | icon/subtle | icon/subtler | text/default | text/disabled | text/subtle | text/subtler"
"#0A3C5C",13,3,Y,"Navy scale/NEW_Navi070 | Navy/Navy 060 | Second Navy/navy060_Default Btn"
"#436378",12,5,Y,"$-G_Default Btn-400 | $-gray-400 | Navy/Navy 050 | Second Navy/navy050 | Untitled/$-DefaultBtn_N-400"
"#143C56",12,8,N,"$-G_Default Btn-500 | $-gray-500 | Brand Color/Overnight Gray | Default Btn | Navy scale/Navi070 | Overnight Gray | Second Navy/navy060_Default Btn | Untitled/$-DefaultBtn_N-500"
"#FD8484",12,7,Y,"Badge Color/hotdeal | Badge/Hot Deal | Map Marker/Free Zone | Map Marker/freezone | Secondary/freezone | Secondary/hotdeal | 특가"
"#00C88C",12,6,Y,"Brand Color/Daily Green | Brand color/GR060 | Default Logo | First Green/g500_Default Logo | System Color/positive_green | System/Success"
"#D32828",11,5,Y,"red060 | Red100 | Secondary/red060_alarm | System Color/red060_alarm | System/Alarm"
"#A1B1BB",10,6,Y,"$-G_Default Btn-200 | $-gray-200 | Map Marker/Active_Line | Navy/Navy 030 | Second Navy/navy030_Line Btn text | Untitled/$-DefaultBtn_N-200"
"#A87DF9",10,5,Y,"Badge Color/eleccar | Badge/Eleccar | Secondary/eleccar | Secondary/puple040 | 전기차"
"#F8F8F8",10,4,Y,"Gray Scale/Gray 005 | Gray Scale/gray005 | iOS/Safari/Bars Background Light | Untitled/gray005"
"#F1F1F1",10,5,Y,"Gray Scale/Gray 010 | Gray Scale/gray010 | gray010 | Korail(Pending)/코레일_bg_table | Untitled/gray010"
"#C5C5C5",10,3,Y,"Gray Scale/Gray 040 | Gray Scale/gray040 | Untitled/gray040"
"#2F2E2E",10,2,Y,"Gray Scale/Gray 080 | Gray Scale/gray080"
"#FED500",9,4,Y,"Badge Color/bookmark | Badge/Bookmark | Secondary/bookmark | yellow060"
"#009BFA",9,4,Y,"Brand Color/L.POINT | Brand/L.POINT | COMPANY/lpoint_blue | Secondary/L.POINT"
"#0079C3",9,3,Y,"Brand Color/L.POINT2 | Brand/L.POINT 2 | Secondary/L.POINT2"
"#8C989E",9,5,N,"Gray/904 | navy040 | Second Text | Second text | Sub Navy/Navy 040 *Second Text"
"#F8679C",8,4,Y,"Badge Color/event | Badge/Event | Secondary/event | 이벤트"
"#5B68FE",8,4,Y,"Badge Color/newcar | Badge/New Car | Secondary/newcar | 신차"
"#FD9F4D",8,4,Y,"Badge Color/newzone | Badge/New Zone | Secondary/newzone | 신규존"
"#D4D4D4",8,2,Y,"Gray Scale/Gray 030 | Gray Scale/gray030"
"#B3BABF",8,6,Y,"Gray/903 | Line Btn text | Map Marker/Disabled Line | Map Marker/disabled_Line | Second Navy/navy030 | Sub Navy/Navy 030"
"#ED9A1E",7,4,N,"Badge Color/ODA | Badge/ODA | ODA | Secondary/ODA"
"#303E47",7,6,N,"Def_Press | Default Text | default text | Gray/907 | Navy 070 *Default Text | navy070"
"#20A556",7,2,N,"Default | Primary/500 main"
"#F14950",7,3,Y,"First Red/400 | FirstRed/g400 | Primary/Red 400"
"#898989",7,2,Y,"Gray Scale/Gray 060 | Gray Scale/gray060"
"#5C5C5C",7,2,Y,"Gray Scale/Gray 070 | Gray Scale/gray070"
"#060809",7,4,Y,"Navy/Navy 100 | navy100 | Primary/910 | Second Navy/navy100"
"#0A1E2B",6,6,Y,"$-G_Default Btn-700 | $-gray-700 | Navy/Navy 080 | Second Navy/navy080 | Second Navy/navy090 | Untitled/$-DefaultBtn_N-700"
"#020609",6,5,Y,"$-G_Default Btn-900 | $-gray-900 | Navy/Navy 090 | Second Navy/navy090 | Untitled/$-DefaultBtn_N-900"
"#C0C259",6,2,Y,"Badge Color/economy | Badge/Economy"
"#40535E",6,4,N,"Default Btn | Gray/906 Gray | Navy 060 *Default Btn | navy060"
"#BE161D",6,4,Y,"First Red/600 | First Red/r600 | FirstRed/g600_G press | Primary/Red 060"
"#FF8159",5,2,Y,"Badge Color/timedeal | Badge/Time Deal"
"#3E3A39",4,2,Y,"Brand Color/G car Gray | Brand/G car Gray"
"#F4777C",4,3,Y,"First Red/300 | FirstRed/g300 | Primary/Red 300"
"#2F0607",4,3,Y,"First Red/900 | FirstRed/g900 | Primary/Red 090"
"#B7B7B7",4,2,Y,"Gray Scale/Gray 050 | Gray Scale/gray050"
"#79C99A",4,3,N,"green040 | Primary/300 | Secondary/economy"
"#050F16",3,3,N,"$-G_Default Btn-800 | $-gray-800 | Untitled/$-DefaultBtn_N-800"
"#EFD2D3",3,1,N,"$-primary-100"
"#DFA5A7",3,1,N,"$-primary-200"
"#D0797C",3,1,N,"$-primary-300"
"#C04C50",3,1,N,"$-primary-400"
"#F8E9EA",3,1,N,"$-primary-50"
"#B01F24",3,1,N,"$-primary-500"
"#84171B",3,1,N,"$-primary-600"
"#581012",3,1,N,"$-primary-700"
"#2C0809",3,1,N,"$-primary-800"
"#120304",3,1,N,"$-primary-900"
"#00A870",3,3,N,"Brand color/GR060 | First Green/g500_Default | System/g500_45%"
"#FBD2D3",3,3,Y,"First Red/100 | FirstRed/g100 | Primary/Red 010"
"#8E1116",3,3,Y,"First Red/700 | FirstRed/g700 | Primary/Red 070"
"#1A1A1A",3,2,N,"Gcar_logo_text | Grayscale/Gray05"
"#2E2E2E",3,2,N,"Gray scale/Gray080 | Untitled/gray080"
"#EB6565",3,2,Y,"Map Marker/Free Zone Line | Map Marker/freezone_Line"
"#4DB778",2,2,N,"400 | Primary/400"
"#59BBF2",2,2,Y,"Badge/Clean | First Green/Secondary/care"
"#111111",2,2,N,"BG/Black_Color | Grayscale/Gray-090"
"#E50012",2,2,N,"Brand Color/lotte rental | Map Marker/active"
"#BF7200",2,2,N,"Brand Color/ODA_line | Brand/ODA Line"
"#3617CB",2,2,Y,"Brand Color/T membership | Brand/T Membership"
"#0A84FF",2,1,N,"Default/SystemBlue/Dark"
"#007AFF",2,1,N,"Default/SystemBlue/Light"
"#1B69F1",2,2,N,"fill/brand/primary | text/brand/primary"
"#F8A4A7",2,2,Y,"First Red/200 | Primary/Red 020"
"#5F0B0E",2,2,Y,"First Red/800 | Primary/Red 080"
"#E6FAF4",2,1,N,"FirstRed/g50"
"#181A1D",2,2,N,"Font_Icon/Default | Icon/default"
"#66757E",2,2,N,"Gray/905 | Sub Navy/Navy 050"
"#0066B3",2,2,N,"Korail(Pending)/코레일_text_blue_b | 코레일_bg_button_normal/dim"
"#3C3C43",2,2,N,"Label Color/Light/Secondary | Separator Color/Light/With Transparency"
"#BEC3C7",2,2,Y,"Map Marker/Disabled Text | Map Marker/disabled_Text"
"#187C41",2,2,N,"Posi_Press | Primary/600"
"#10CFC9",2,2,N,"Sub 060 *default | Sub Sky-Blue/Sub 060 *default"
"#EEF1F8",2,2,N,"System Color/main_bg | System/main_bg"
"#DF1B35",2,1,N,"text/color/red"
