판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
ABSORB,"$-G_Default Btn-100","7600:76412","#D0D8DD","Navy/Navy 020","#D0D8DD",0,""
ABSORB,"$-G_Default Btn-200","7600:76414","#A1B1BB","Navy/Navy 030","#A1B1BB",0,""
ABSORB,"$-G_Default Btn-300","7600:76416","#728A9A","Navy/Navy 040","#728A9A",0,""
ABSORB,"$-G_Default Btn-400","7600:76418","#436378","Navy/Navy 050","#436378",0,""
ABSORB,"$-G_Default Btn-50","7600:76410","#E8ECEF","Navy/Navy 010","#E8ECEF",0,""
ABSORB,"$-G_Default Btn-600","7600:76422","#0F2D41","Navy/Navy 070","#0F2D41",0,""
ABSORB,"$-G_Default Btn-700","7600:76424","#0A1E2B","Navy/Navy 080","#0A1E2B",0,""
ABSORB,"$-G_Default Btn-900","7600:76428","#020609","Navy/Navy 100","#020609",0,""
ABSORB,"$-gray-100","7600:76370","#D0D8DD","Navy/Navy 020","#D0D8DD",0,""
ABSORB,"$-gray-200","7600:76372","#A1B1BB","Navy/Navy 030","#A1B1BB",0,""
ABSORB,"$-gray-300","7600:76374","#728A9A","Navy/Navy 040","#728A9A",0,""
ABSORB,"$-gray-400","7600:76376","#436378","Navy/Navy 050","#436378",0,""
ABSORB,"$-gray-50","7600:76368","#E8ECEF","Navy/Navy 010","#E8ECEF",0,""
ABSORB,"$-gray-600","7600:76380","#0F2D41","Navy/Navy 070","#0F2D41",0,""
ABSORB,"$-gray-700","7600:76382","#0A1E2B","Navy/Navy 080","#0A1E2B",0,""
ABSORB,"$-gray-900","7600:76386","#020609","Navy/Navy 100","#020609",0,""
ABSORB,"Badge Color/bookmark","40046:44563","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/bookmark","40613:37749","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/bookmark","40917:27461","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/bookmark","41321:27536","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/bookmark","42560:39566","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/bookmark","43984:4711","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge Color/economy","41321:27541","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge Color/economy","42560:39569","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge Color/economy","42814:16151","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge Color/economy","43882:23921","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge Color/economy","43984:4716","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge Color/eleccar","41321:27540","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge Color/eleccar","42560:39568","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge Color/eleccar","42814:15972","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge Color/eleccar","43882:23946","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge Color/eleccar","43984:4715","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge Color/event","28893:179896","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge Color/event","40046:44570","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge Color/event","41321:27537","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge Color/event","42814:16148","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge Color/event","43984:4712","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge Color/hotdeal","40479:37616","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge Color/hotdeal","41321:27538","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge Color/hotdeal","42560:39567","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge Color/hotdeal","42814:16149","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge Color/hotdeal","43984:4713","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge Color/newcar","28893:179895","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge Color/newcar","40917:27449","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge Color/newcar","41321:27539","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge Color/newcar","43882:23920","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge Color/newcar","43984:4714","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge Color/newzone","41321:27514","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
ABSORB,"Badge Color/newzone","42414:4574","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
ABSORB,"Badge Color/newzone","42814:16150","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
ABSORB,"Badge Color/newzone","43882:23919","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
