구분,현행 이름,HEX,진단,제안
CN-2,"Primary/Red 500","#ED1C24","단계 번호 체계 혼용 — 명도 순으로 정렬하면 단계 번호가 단조 증가하지 않음 — 010 → 020 → 300 → 400 → 500 → 060 → 070 → 080 → 090",""
CN-2,"Primary/Red 060","#BE161D","단계 번호 체계 혼용 — 명도 순으로 정렬하면 단계 번호가 단조 증가하지 않음 — 010 → 020 → 300 → 400 → 500 → 060 → 070 → 080 → 090",""
CN-3,"Primary",,"단계 결번 — 010~090 사이에 030, 040, 050 없음","CN-2(번호 체계 혼용)를 먼저 정리하면 이 결번은 자동으로 메워집니다"
CN-4,"Primary",,"명도 역전 — Primary/Red 090(#2F0607) 보다 Primary/Red 300(#F4777C) 이 더 밝음 — 단계가 커질수록 어두워야 하는 규칙에 어긋남","CN-2 정리 시 자동 해소"
CN-3,"Gray Scale",,"단계 결번 — 000~100 사이에 090 없음","결번을 그대로 둘지(비어 있음이 의도) 채울지 결정 필요"
CN-1,"Navy/navy 040","#728A9A","대소문자 흔들림 — Navy 그룹의 색상명이 ""Navy"" / ""navy"" 로 갈림","소수 표기를 ""Navy"" 로 통일"
CN-2,"Navy/Navy 100","#060809","단계 번호 체계 혼용 — 명도 순으로 정렬하면 단계 번호가 단조 증가하지 않음 — 010 → 020 → 030 → 040 → 050 → 060 → 070 → 080 → 100 → 090",""
CN-2,"Navy/Navy 090","#020609","단계 번호 체계 혼용 — 명도 순으로 정렬하면 단계 번호가 단조 증가하지 않음 — 010 → 020 → 030 → 040 → 050 → 060 → 070 → 080 → 100 → 090",""
CN-4,"Navy",,"명도 역전 — Navy/Navy 090(#020609) 보다 Navy/Navy 100(#060809) 이 더 밝음 — 단계가 커질수록 어두워야 하는 규칙에 어긋남","원본 확인 필요 — 값이 뒤바뀐 것인지 의도인지 판단 불가"
CN-5,"Map Marker/Active_Line","#A1B1BB","언더스코어 사용 (다른 이름은 공백)","공백 표기로 통일"
CN-6,"Map Marker/Free Zone","#FD8484","스와치 #FD8484 vs 표기 라벨 #BEC3C7","원본 확인 필요"
CN-6,"System/Success","#00C88C","스와치 #00C88C vs 표기 라벨 #E2E2E2","원본 확인 필요"
CN-6,"System/Focus Line","#0029FF","스와치 #0029FF vs 표기 라벨 #A1B1BB","원본 확인 필요"
