node_id,page,name,width,height,current_radius,target_radius,level,instances,change
42400:51406,"Bottom sheet (바텀시트) 🚧","value=title_only",360,56,20,14,Medium,0,true
42400:51408,"Bottom sheet (바텀시트) 🚧","value=expand_btn",360,32,20,10,Small,0,true
42400:51410,"Bottom sheet (바텀시트) 🚧","value=2btn_title",360,56,20,14,Medium,0,true
42400:51412,"Bottom sheet (바텀시트) 🚧","value=default",360,56,20,14,Medium,0,true
42400:51414,"Bottom sheet (바텀시트) 🚧","value=ico_text",360,56,20,14,Medium,0,true
42400:51617,"Bottom sheet (바텀시트) 🚧","Property 1=수수료 미부과",375,786,20,20,Xlarge,0,false
42400:51676,"Bottom sheet (바텀시트) 🚧","Property 1=수수료 부과",375,831,20,20,Xlarge,0,false
42412:39353,"Picker (피커) ✅","Property 1=date_picker_aos",360,192,20,20,Xlarge,0,false
42412:39368,"Picker (피커) ✅","Property 1=date_picker_oneway_disable_aos",360,192,20,20,Xlarge,0,false
42412:39383,"Picker (피커) ✅","Property 1=date_picker_oneway_aos",360,164,20,20,Xlarge,0,false
42412:39391,"Picker (피커) ✅","Property 1=date_picker_disable_aos",360,164,20,20,Xlarge,0,false
42419:35842,"Modal (모달) ✅","Type=default",312,180,20,20,Xlarge,1,false
42419:35849,"Modal (모달) ✅","Type=default + title",312,226,20,20,Xlarge,10,false
42419:35858,"Modal (모달) ✅","Type=vertical two",312,226,20,20,Xlarge,3,false
42419:35869,"Modal (모달) ✅","Type=horizontal two",312,294,20,20,Xlarge,2,false
42419:35880,"Modal (모달) ✅","Type=three button",312,340,20,20,Xlarge,0,false
42419:35894,"Modal (모달) ✅","Type=one text",312,258,20,20,Xlarge,1,false
42419:35905,"Modal (모달) ✅","Type=scroll",312,394,20,20,Xlarge,1,false
42419:35916,"Modal (모달) ✅","Type=two text",312,342,20,20,Xlarge,1,false
42419:35930,"Modal (모달) ✅","Type=contents",312,350,20,20,Xlarge,1,false
42419:35940,"Modal (모달) ✅","Type=contents + two button",312,350,20,20,Xlarge,0,false
42419:35951,"Modal (모달) ✅","Type=contents + two button 2",312,434,20,20,Xlarge,0,false
