구분,토큰,정본 스펙,충돌 내용,비고
TY-1,"Display 2 = Heading 1","20px / 700","크기·굵기가 완전히 동일 — 행간도 Auto 라 구분 근거 없음","용도 구분을 행간/자간으로 정의하거나 토큰 통합"
TY-1,"Display 3 = Heading 3","16px / 700","크기·굵기가 완전히 동일 — 행간도 Auto 라 구분 근거 없음","용도 구분을 행간/자간으로 정의하거나 토큰 통합"
TY-1,"Caption 1 = Body 3","12px / 400","크기·굵기가 완전히 동일 — 행간도 Auto 라 구분 근거 없음","용도 구분을 행간/자간으로 정의하거나 토큰 통합"
TY-1,"Caption 2 = Body 4","10px / 400","크기·굵기가 완전히 동일 — 행간도 Auto 라 구분 근거 없음","용도 구분을 행간/자간으로 정의하거나 토큰 통합"
TY-2,"Display 1","24px / 700","레거시 동명 스타일: 28px/400","레거시 1개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Title 2","22px / 500","레거시 동명 스타일: 22px/400","레거시 1개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Display 2","20px / 700","레거시 동명 스타일: 24px/700","레거시 3개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Display 3","16px / 700","레거시 동명 스타일: 20px/700","레거시 4개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Body 1","16px / 400","레거시 동명 스타일: 18px/400, 18px/500, 18px/700","레거시 3개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Body 2","14px / 400","레거시 동명 스타일: 16px/500, 16px/400, 16px/700","레거시 13개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Caption 1","12px / 400","레거시 동명 스타일: 12px/400, 12px/500","레거시 11개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Body 3","12px / 400","레거시 동명 스타일: 14px/400, 14px/500, 14px/700","레거시 13개 — 같은 이름이 다른 크기를 가리킴"
TY-2,"Caption 2","10px / 400","레거시 동명 스타일: 11px/400, 10px/400","레거시 8개 — 같은 이름이 다른 크기를 가리킴"
TY-3,"pretendard GOV Variable vs Pretendard GOV Variable",,"대소문자만 다른 폰트 패밀리 중복","pretendard GOV Variable(33) / Pretendard GOV Variable(4)"
